time_step,computation_time,tracking_error,Y_trajectory,X_trajectory,status_step,velocity_result
64,0.23657703399658203,[-0.02  0.    0.01],0.09609130666555082,-0.07716645171367562,Maximum_Iterations_Exceeded,0.6155582080074564
65,0.24028563499450684,[-0.02  0.    0.01],0.09609052449655692,-0.07716829373198006,Maximum_Iterations_Exceeded,0.5870025265528871
66,0.24349689483642578,[-0.02  0.    0.01],0.09608991463282204,-0.07716980340942468,Maximum_Iterations_Exceeded,0.5593265976998929
67,0.25520992279052734,[-0.02  0.    0.01],0.096089438089162,-0.07717101690220673,Maximum_Iterations_Exceeded,0.5325845216683263
68,0.2531132698059082,[-0.02  0.    0.01],0.09608906539739581,-0.07717197040785154,Maximum_Iterations_Exceeded,0.5068153936815195
69,0.2487506866455078,[-0.02  0.    0.01],0.09608877440220565,-0.07717269901206758,Maximum_Iterations_Exceeded,0.48204417019181667
70,0.2515449523925781,[-0.02  0.    0.01],0.09608854848826895,-0.07717323587109114,Maximum_Iterations_Exceeded,0.4582829695110946
71,0.22843241691589355,[-0.02  0.    0.01],0.09608837517655548,-0.0771736116671295,Maximum_Iterations_Exceeded,0.43553261709880925
72,0.24265241622924805,[-0.02  0.    0.01],0.09608824503328611,-0.07717385428159555,Maximum_Iterations_Exceeded,0.4137842952951331
73,0.23708772659301758,[-0.02  0.    0.01],0.09608815083368882,-0.07717398864114386,Maximum_Iterations_Exceeded,0.3930211956918637
74,0.2401716709136963,[-0.02  0.    0.01],0.09608808693089955,-0.07717403669733824,Maximum_Iterations_Exceeded,0.37322010229378566
75,0.23738861083984375,[-0.02  0.    0.01],0.09608804878913224,-0.07717401750588121,Maximum_Iterations_Exceeded,0.3543528570678961
76,0.24433445930480957,[-0.02  0.    0.01],0.09608803264605482,-0.0771739473771095,Maximum_Iterations_Exceeded,0.3363876777915888
77,0.25386929512023926,[-0.02  0.    0.01],0.09608803527513182,-0.0771738400744699,Maximum_Iterations_Exceeded,0.3192903123477765
78,0.24965763092041016,[-0.02  0.    0.01],0.09608805382393695,-0.07717370704213908,Maximum_Iterations_Exceeded,0.3030250245367415
79,0.2410275936126709,[-0.02  0.    0.01],0.09608808570911023,-0.07717355764683458,Maximum_Iterations_Exceeded,0.28755541466293427
80,0.2438664436340332,[-0.02  0.    0.01],0.09608812855243054,-0.07717339942231721,Maximum_Iterations_Exceeded,0.27284508406687447
81,0.24354052543640137,[-0.02  0.    0.01],0.09608818014569925,-0.07717323830803335,Maximum_Iterations_Exceeded,0.2588581567870047
82,0.2351236343383789,[-0.02  0.    0.01],0.09608823843494793,-0.07717307887575355,Maximum_Iterations_Exceeded,0.2455596739848355
83,0.22284269332885742,[-0.02  0.    0.01],0.09608830151674466,-0.07717292454008393,Maximum_Iterations_Exceeded,0.2329158779434911
84,0.223982572555542,[-0.02  0.    0.01],0.09608836764130174,-0.07717277775030894,Maximum_Iterations_Exceeded,0.22089440262303825
85,0.21142983436584473,[-0.02  0.    0.01],0.09608843521864013,-0.07717264016228176,Maximum_Iterations_Exceeded,0.20946438716924004
86,0.227708101272583,[-0.02  0.    0.01],0.09608850282520923,-0.0771725127900765,Maximum_Iterations_Exceeded,0.1985965276411517
87,0.23736095428466797,[-0.02  0.    0.01],0.09608856920921517,-0.07717239613788118,Maximum_Iterations_Exceeded,0.1882630807353953
88,0.24754571914672852,[-0.02  0.    0.01],0.09608863329352141,-0.07717229031317373,Maximum_Iterations_Exceeded,0.17843783159870835
